batch_idx,timestamp_s,war,gwar,promotion_fraction,n_star,n_tokens
206,6.0651,0.0,0.0,0.0,16,46
207,6.0944,0.0,0.0,0.0,16,41
208,6.1237,0.0,0.0,0.0,16,46
209,6.153,0.0,0.9347,0.7735,16,47
210,6.1823,0.0,0.0,0.0,16,49
211,6.2116,0.0,0.8134,0.6731,16,51
212,6.2409,0.0,0.0,0.0,16,32
213,6.2702,0.0,0.0,0.0,16,65
214,6.2995,0.0,1.0,1.0,16,44
215,6.3288,0.0,0.0,0.0,16,50
216,6.3581,0.0,0.0,0.0,16,46
217,6.3874,0.0,0.0,0.0,16,42
218,6.4167,0.0,0.0,0.0,16,61
219,6.446,0.0,0.9152,0.7573,16,48
220,6.4753,0.0,0.8918,0.7379,16,52
221,6.5046,0.0,0.7656,0.6335,16,51
222,6.5339,0.0,0.0,0.0,16,40
223,6.5632,0.0,0.0,0.0,16,51
224,6.5925,0.0,0.0,0.0,16,52
225,6.6218,0.0,1.0,0.935,16,54
226,6.6511,0.0,0.0,0.0,16,48
227,6.6804,0.0,0.0,0.0,16,43
228,6.7097,0.0,0.7602,0.6291,16,61
229,6.739,0.0,0.0,0.0,16,46
230,6.7683,0.0,0.8274,0.6846,16,59
231,6.7976,0.0,0.0,0.0,16,46
232,6.8269,0.0,0.0,0.0,16,47
233,6.8562,0.0,0.0,0.0,16,53
234,6.8855,0.0,0.8134,0.6731,16,54
235,6.9148,0.0,0.8588,0.7107,16,54
236,6.9441,0.0,0.0,0.0,16,52
237,6.9734,0.0,0.0,0.0,16,43
238,7.0027,0.0,0.0,0.0,16,42
239,7.032,0.0,0.0,0.0,16,46
240,7.0613,0.0,0.8613,0.7127,16,51
241,7.0906,0.0,1.0,0.8415,16,48
242,7.1199,0.0,1.0,0.8593,16,47
243,7.1492,0.0,0.8254,0.683,16,68
244,7.1785,0.0,0.0,0.0,16,55
245,7.2078,0.0,0.0,0.0,16,44
246,7.2371,0.0,0.8837,0.7313,16,58
247,7.2664,0.0,0.8803,0.7284,16,61
248,7.2957,0.0,0.0,0.0,16,46
249,7.325,0.0,0.0,0.0,16,58
250,7.3543,0.0,1.0,0.8446,16,55
251,7.3836,0.0,0.8298,0.6866,16,50
252,7.4129,0.0,0.9318,0.771,16,55
253,7.4422,0.0,0.0,0.0,16,44
254,7.4715,0.0,0.9299,0.7694,16,63
255,7.5008,0.0,0.9589,0.7935,16,56
256,7.5301,0.0,0.0,0.0,16,39
257,7.5594,0.0,0.0,0.0,16,46
258,7.5887,0.0,0.0,0.0,16,47
259,7.618,0.0,0.8308,0.6874,16,47
260,7.6473,0.0,0.8134,0.6731,16,51
261,7.6766,0.0,0.7031,0.5818,16,59
262,7.7059,0.0,0.0,0.0,16,46
263,7.7352,0.0,0.7995,0.6616,16,58
264,7.7645,0.0,0.0,0.0,16,42
265,7.7938,0.0,0.8613,0.7127,16,51
266,7.8231,0.0,0.0,0.0,16,52
267,7.8524,0.0,0.0,0.0,16,49
268,7.8817,0.0,0.8288,0.6858,16,53
269,7.911,0.0,0.7978,0.6602,16,52
270,7.9403,0.0,0.9274,0.7674,16,50
271,7.9696,0.0,0.922,0.763,16,45
272,7.9989,0.0,0.8134,0.6731,16,54
273,8.0282,0.0,0.8749,0.724,16,53
274,8.0575,0.0,0.7829,0.6479,16,53
275,8.0868,0.0,0.8298,0.6866,16,50
276,8.1161,0.0,0.0,0.0,16,38
277,8.1454,0.0,0.9762,0.8078,16,50
278,8.1747,0.0,1.0,0.8781,16,46
279,8.204,0.0,0.0,0.0,16,45
280,8.2333,0.0,1.0,0.8545,16,52
281,8.2626,0.0,0.0,0.0,16,34
282,8.2919,0.0,0.0,0.0,16,53
283,8.3212,0.0,0.0,0.0,16,48
284,8.3505,0.0,0.7134,0.5903,16,65
285,8.3798,0.0,0.8432,0.6977,16,55
286,8.4091,0.0,0.0,0.0,16,49
287,8.4384,0.0,0.0,0.0,16,51
288,8.4677,0.0,1.0,0.9467,16,64
289,8.497,0.0,0.0,0.0,16,48
290,8.5263,0.0,0.0,0.0,16,46
291,8.5556,0.0,0.0,0.0,16,58
292,8.5849,0.0,0.0,0.0,16,50
293,8.6142,0.0,0.0,0.0,16,53
294,8.6435,0.0,0.0,0.0,16,49
295,8.6728,0.0,0.7988,0.661,16,55
296,8.7021,0.0,0.9257,0.766,16,58
297,8.7314,0.0,0.781,0.6462,16,50
298,8.7607,0.0,0.8488,0.7024,16,46
299,8.79,0.0,1.0,0.9219,16,46
300,8.8193,0.0,1.0,0.9011,16,65
301,8.8486,0.0,0.8274,0.6846,16,59
302,8.8779,0.0,0.8613,0.7127,16,51
303,8.9072,0.0,0.8828,0.7305,16,47
304,8.9365,0.0,0.0,0.0,16,51
305,8.9658,0.0,0.0,0.0,16,44
306,8.9951,0.0,0.6402,0.5297,16,61
307,9.0244,0.0,0.9533,0.7888,16,64
308,9.0537,0.0,0.8134,0.6731,16,48
309,9.083,0.0,0.9855,0.8155,16,52
310,9.1123,0.0,0.7573,0.6267,16,58
311,9.1416,0.0,0.8298,0.6866,16,50
312,9.1709,0.0,0.0,0.0,16,40
313,9.2002,0.0,0.0,0.0,16,44
314,9.2295,0.0,0.0,0.0,16,49
315,9.2588,0.0,1.0,1.0,16,33
316,9.2881,0.0,0.0,0.0,16,58
317,9.3174,0.0,0.0,0.0,16,42
318,9.3467,0.0,0.7968,0.6594,16,49
319,9.376,0.0,0.0,0.0,16,54
320,9.4053,0.0,0.0,0.0,16,50
321,9.4346,0.0,0.0,0.0,16,47
322,9.4639,0.0,0.0,0.0,16,48
323,9.4932,0.0,0.8003,0.6622,16,61
324,9.5225,0.0,0.8588,0.7107,16,54
325,9.5518,0.0,0.0,0.0,16,42
326,9.5811,0.0,0.8298,0.6866,16,50
327,9.6104,0.0,0.0,0.0,16,55
328,9.6397,0.0,0.0,0.0,16,50
329,9.669,0.0,0.0,0.0,16,47
330,9.6983,0.0,0.8466,0.7006,16,49
331,9.7276,0.0,0.7202,0.596,16,61
332,9.7569,0.0,0.9091,0.7523,16,51
333,9.7862,0.0,0.0,0.0,16,42
334,9.8155,0.0,0.0,0.0,16,48
335,9.8448,0.0,0.0,0.0,16,54
336,9.8741,0.0,0.0,0.0,16,55
337,9.9034,0.0,0.0,0.0,16,45
338,9.9327,0.0,0.781,0.6462,16,50
339,9.962,0.0,0.8308,0.6874,16,47
340,9.9913,0.0,0.0,0.0,16,54
341,10.0206,0.0,0.6619,0.5477,16,59
342,10.0499,0.0,0.6973,0.577,16,63
343,10.0792,0.0,0.0,0.0,16,47
344,10.1085,0.0,0.9152,0.7573,16,48
345,10.1378,0.0,0.9347,0.7735,16,47
346,10.1671,0.0,0.0,0.0,16,48
347,10.1964,0.0,0.0,0.0,16,39
348,10.2257,0.0,0.0,0.0,16,49
349,10.255,0.0,0.0,0.0,16,45
350,10.2843,0.0,0.0,0.0,16,51
351,10.3136,0.0,0.0,0.0,16,48
352,10.3429,0.0,0.8403,0.6953,16,61
353,10.3722,0.0,0.9928,0.8215,16,59
354,10.4015,0.0,0.7278,0.6022,16,57
355,10.4308,0.0,0.9465,0.7832,16,49
356,10.4601,0.0,0.0,0.0,16,56
357,10.4894,0.0,0.0,0.0,16,53
358,10.5187,0.0,0.8008,0.6626,16,64
359,10.548,0.0,0.8786,0.727,16,50
360,10.5773,0.0,0.8749,0.724,16,53
361,10.6066,0.0,0.7322,0.6059,16,60
362,10.6359,0.0,0.0,0.0,16,48
363,10.6652,0.0,0.0,0.0,16,32
364,10.6945,0.0,0.0,0.0,16,34
365,10.7238,0.0,0.0,0.0,16,33
366,10.7531,0.0,0.6802,0.5628,16,61
367,10.7824,0.0,0.8432,0.6977,16,55
368,10.8117,0.0,1.0,0.8446,16,55
369,10.841,0.0,0.0,0.0,16,50
370,10.8703,0.0,0.0,0.0,16,42
371,10.8996,0.0,0.0,0.0,16,51
372,10.9289,0.0,0.781,0.6462,16,50
373,10.9582,0.0,0.9386,0.7767,16,52
374,10.9875,0.0,0.8466,0.7006,16,49
375,11.0168,0.0,0.0,0.0,16,44
376,11.0461,0.0,0.0,0.0,16,37
377,11.0754,0.0,0.0,0.0,16,51
378,11.1047,0.0,0.0,0.0,16,36
379,11.134,0.0,0.7446,0.6162,16,59
380,11.1633,0.0,0.0,0.0,16,50
381,11.1926,0.0,0.0,0.0,16,54
382,11.2219,0.0,0.0,0.0,16,36
383,11.2512,0.0,0.7656,0.6335,16,51
384,11.2805,0.0,0.0,0.0,16,52
385,11.3098,0.0,0.7544,0.6242,16,55
386,11.3391,0.0,0.0,0.0,16,50
387,11.3684,0.0,0.0,0.0,16,41
388,11.3977,0.0,0.9572,0.792,16,51
389,11.427,0.0,0.8837,0.7313,16,58
390,11.4563,0.0,0.922,0.763,16,45
