iteration,t_sec,phase,policy,war_observed,tmax_current,error_e_t,integral_term,proportional_term,tau_iter_ms,hardware_label,K,workload,spectral_radius
50,1.5,stationary,Static_Tmax,0.825985,0.020936,-0.025985,0.0,0.0,30.0,single_a6000,4,step,N/A
51,1.53,stationary,PI_adaptive,0.795889,0.02098,0.004111,0.0,5e-06,30.0,single_a6000,4,step,0.998494
51,1.53,stationary,Static_Tmax,0.814751,0.020936,-0.014751,0.0,0.0,30.0,single_a6000,4,step,N/A
52,1.56,stationary,PI_adaptive,0.784749,0.020998,0.015251,0.0,1.8e-05,30.0,single_a6000,4,step,0.998494
52,1.56,stationary,Static_Tmax,0.795892,0.020936,0.004108,0.0,0.0,30.0,single_a6000,4,step,N/A
53,1.59,stationary,PI_adaptive,0.785848,0.021015,0.014152,0.0,1.7e-05,30.0,single_a6000,4,step,0.998494
53,1.59,stationary,Static_Tmax,0.79322,0.020936,0.00678,0.0,0.0,30.0,single_a6000,4,step,N/A
54,1.62,stationary,PI_adaptive,0.823006,0.020997,-0.023006,0.0,-2.8e-05,30.0,single_a6000,4,step,0.998494
54,1.62,stationary,Static_Tmax,0.765454,0.020936,0.034546,0.0,0.0,30.0,single_a6000,4,step,N/A
55,1.65,stationary,PI_adaptive,0.813508,0.020981,-0.013508,0.0,-1.6e-05,30.0,single_a6000,4,step,0.998494
55,1.65,stationary,Static_Tmax,0.804755,0.020936,-0.004755,0.0,0.0,30.0,single_a6000,4,step,N/A
56,1.68,stationary,PI_adaptive,0.791681,0.020992,0.008319,0.0,1e-05,30.0,single_a6000,4,step,0.998494
56,1.68,stationary,Static_Tmax,0.771079,0.020936,0.028921,0.0,0.0,30.0,single_a6000,4,step,N/A
57,1.71,stationary,PI_adaptive,0.80581,0.020985,-0.00581,0.0,-7e-06,30.0,single_a6000,4,step,0.998494
57,1.71,stationary,Static_Tmax,0.789411,0.020936,0.010589,0.0,0.0,30.0,single_a6000,4,step,N/A
58,1.74,stationary,PI_adaptive,0.808491,0.020975,-0.008491,0.0,-1e-05,30.0,single_a6000,4,step,0.998494
58,1.74,stationary,Static_Tmax,0.800438,0.020936,-0.000438,0.0,0.0,30.0,single_a6000,4,step,N/A
59,1.77,stationary,PI_adaptive,0.835088,0.020957,-0.035088,0.0,-4.2e-05,30.0,single_a6000,4,step,0.998494
59,1.77,stationary,Static_Tmax,0.795214,0.020936,0.004786,0.0,0.0,30.0,single_a6000,4,step,N/A
60,1.8,stationary,PI_adaptive,0.781179,0.020975,0.018821,0.0,2.3e-05,30.0,single_a6000,4,step,0.998494
60,1.8,stationary,Static_Tmax,0.803586,0.020936,-0.003586,0.0,0.0,30.0,single_a6000,4,step,N/A
61,1.83,stationary,PI_adaptive,0.807479,0.020966,-0.007479,0.0,-9e-06,30.0,single_a6000,4,step,0.998494
61,1.83,stationary,Static_Tmax,0.827184,0.020936,-0.027184,0.0,0.0,30.0,single_a6000,4,step,N/A
62,1.86,stationary,PI_adaptive,0.819086,0.020948,-0.019086,0.0,-2.3e-05,30.0,single_a6000,4,step,0.998494
62,1.86,stationary,Static_Tmax,0.807138,0.020936,-0.007138,0.0,0.0,30.0,single_a6000,4,step,N/A
63,1.89,stationary,PI_adaptive,0.830243,0.02093,-0.030243,0.0,-3.7e-05,30.0,single_a6000,4,step,0.998494
63,1.89,stationary,Static_Tmax,0.776225,0.020936,0.023775,0.0,0.0,30.0,single_a6000,4,step,N/A
64,1.92,stationary,PI_adaptive,0.786763,0.020947,0.013237,0.0,1.6e-05,30.0,single_a6000,4,step,0.998494
