iteration,t_sec,phase,policy,war_observed,tmax_current,error_e_t,integral_term,proportional_term,tau_iter_ms,hardware_label,K,workload,spectral_radius
26,0.78,sinusoidal,Static_Tmax,0.806823,0.020936,-0.006823,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
27,0.81,sinusoidal,PI_adaptive,0.793602,0.020805,0.006398,-0.0,8e-06,30.0,single_a6000,4,sinusoidal,0.998494
27,0.81,sinusoidal,Static_Tmax,0.800935,0.020936,-0.000935,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
28,0.84,sinusoidal,PI_adaptive,0.79861,0.020807,0.00139,-0.0,2e-06,30.0,single_a6000,4,sinusoidal,0.998494
28,0.84,sinusoidal,Static_Tmax,0.844106,0.020936,-0.044106,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
29,0.87,sinusoidal,PI_adaptive,0.787421,0.020822,0.012579,-0.0,1.5e-05,30.0,single_a6000,4,sinusoidal,0.998494
29,0.87,sinusoidal,Static_Tmax,0.834067,0.020936,-0.034067,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
30,0.9,sinusoidal,PI_adaptive,0.772764,0.02084,0.027236,-0.0,3.3e-05,30.0,single_a6000,4,sinusoidal,0.998494
30,0.9,sinusoidal,Static_Tmax,0.808497,0.020936,-0.008497,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
31,0.93,sinusoidal,PI_adaptive,0.811573,0.020826,-0.011573,-0.0,-1.4e-05,30.0,single_a6000,4,sinusoidal,0.998494
31,0.93,sinusoidal,Static_Tmax,0.827411,0.020936,-0.027411,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
32,0.96,sinusoidal,PI_adaptive,0.821946,0.020807,-0.021946,-0.0,-2.7e-05,30.0,single_a6000,4,sinusoidal,0.998494
32,0.96,sinusoidal,Static_Tmax,0.832045,0.020936,-0.032045,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
33,0.99,sinusoidal,PI_adaptive,0.799831,0.020807,0.000169,-0.0,0.0,30.0,single_a6000,4,sinusoidal,0.998494
33,0.99,sinusoidal,Static_Tmax,0.807421,0.020936,-0.007421,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
34,1.02,sinusoidal,PI_adaptive,0.824469,0.020789,-0.024469,-0.0,-3e-05,30.0,single_a6000,4,sinusoidal,0.998494
34,1.02,sinusoidal,Static_Tmax,0.813332,0.020936,-0.013332,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
35,1.05,sinusoidal,PI_adaptive,0.780874,0.020807,0.019126,-0.0,2.3e-05,30.0,single_a6000,4,sinusoidal,0.998494
35,1.05,sinusoidal,Static_Tmax,0.79498,0.020936,0.00502,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
